date;heure;SO2;NO2;O3
;;microg/m3;microg/m3;microg/m3
08/10/1999;1;n/d;9;87
08/10/1999;2;n/d;5;94
08/10/1999;3;n/d;7;91
08/10/1999;4;n/d;9;86
08/10/1999;5;n/d;5;87
08/10/1999;6;n/d;18;70
08/10/1999;7;n/d;34;52
08/10/1999;8;n/d;37;49
08/10/1999;9;n/d;32;51
08/10/1999;10;n/d;30;51
08/10/1999;11;n/d;31;46
08/10/1999;12;n/d;34;44
08/10/1999;13;n/d;31;46
08/10/1999;14;n/d;26;51
08/10/1999;15;n/d;24;55
08/10/1999;16;n/d;31;49
08/10/1999;17;n/d;32;46
08/10/1999;18;n/d;28;52
08/10/1999;19;n/d;25;55
08/10/1999;20;n/d;20;60
08/10/1999;21;n/d;18;60
08/10/1999;22;n/d;10;80
08/10/1999;23;n/d;7;85
08/10/1999;24;n/d;9;86
09/10/1999;1;4;3;92
09/10/1999;2;4;4;87
09/10/1999;3;3;4;85
09/10/1999;4;2;4;82
09/10/1999;5;2;9;73
09/10/1999;6;2;11;71
09/10/1999;7;2;15;66
09/10/1999;8;3;30;53
09/10/1999;9;2;24;56
09/10/1999;10;n/d;n/d;n/d
09/10/1999;11;4;23;51
09/10/1999;12;5;28;46
09/10/1999;13;4;22;54
09/10/1999;14;4;23;51
09/10/1999;15;n/d;n/d;n/d
09/10/1999;16;5;24;48
09/10/1999;17;5;26;48
09/10/1999;18;4;33;42
09/10/1999;19;5;35;35
09/10/1999;20;4;21;50
09/10/1999;21;4;20;52
09/10/1999;22;4;10;67
09/10/1999;23;3;16;59
09/10/1999;24;4;20;52
10/10/1999;1;n/d;11;65
10/10/1999;2;5;3;75
10/10/1999;3;5;5;73
10/10/1999;4;5;8;73
10/10/1999;5;5;4;80
10/10/1999;6;6;7;80
10/10/1999;7;5;12;66
10/10/1999;8;5;19;55
10/10/1999;9;5;21;51
10/10/1999;10;5;17;54
10/10/1999;11;7;29;43
10/10/1999;12;7;22;53
10/10/1999;13;7;18;61
10/10/1999;14;6;14;68
10/10/1999;15;5;14;65
10/10/1999;16;6;20;57
10/10/1999;17;5;9;57
10/10/1999;18;5;17;48
10/10/1999;19;5;19;46
10/10/1999;20;4;9;53
10/10/1999;21;4;10;52
10/10/1999;22;4;6;54
10/10/1999;23;5;9;47
10/10/1999;24;5;9;47
11/10/1999;1;n/d;3;42
11/10/1999;2;n/d;n/d;n/d
11/10/1999;3;n/d;n/d;n/d
11/10/1999;4;n/d;n/d;n/d
11/10/1999;5;n/d;n/d;n/d
11/10/1999;6;n/d;n/d;n/d
11/10/1999;7;n/d;n/d;n/d
11/10/1999;8;n/d;n/d;n/d
11/10/1999;9;5;34;13
11/10/1999;10;8;36;16
11/10/1999;11;10;46;16
11/10/1999;12;12;44;18
11/10/1999;13;12;42;18
11/10/1999;14;13;38;22
11/10/1999;15;12;37;23
11/10/1999;16;11;45;21
11/10/1999;17;11;46;21
11/10/1999;18;12;43;25
11/10/1999;19;11;45;28
11/10/1999;20;11;49;20
11/10/1999;21;11;46;20
11/10/1999;22;11;41;20
11/10/1999;23;14;51;15
11/10/1999;24;19;38;26
12/10/1999;1;10;30;32
12/10/1999;2;9;40;20
12/10/1999;3;9;31;26
12/10/1999;4;11;28;34
12/10/1999;5;16;45;26
12/10/1999;6;19;56;21
12/10/1999;7;15;57;23
12/10/1999;8;14;55;29
12/10/1999;9;13;64;29
12/10/1999;10;10;37;51
12/10/1999;11;10;41;47
12/10/1999;12;10;32;58
12/10/1999;13;10;33;59
12/10/1999;14;10;40;55
12/10/1999;15;11;44;50
12/10/1999;16;10;40;51
12/10/1999;17;11;43;49
12/10/1999;18;10;29;62
12/10/1999;19;10;28;65
12/10/1999;20;10;26;64
12/10/1999;21;8;31;55
12/10/1999;22;10;38;50
12/10/1999;23;9;33;52
12/10/1999;24;6;22;55
13/10/1999;1;10;17;59
13/10/1999;2;11;23;43
13/10/1999;3;14;31;32
13/10/1999;4;16;31;28
13/10/1999;5;16;38;25
13/10/1999;6;18;44;24
13/10/1999;7;17;41;29
13/10/1999;8;15;47;29
13/10/1999;9;16;47;34
13/10/1999;10;17;55;32
13/10/1999;11;16;51;39
13/10/1999;12;13;34;57
13/10/1999;13;11;31;61
13/10/1999;14;11;33;64
13/10/1999;15;13;39;57
13/10/1999;16;15;44;54
13/10/1999;17;16;59;46
13/10/1999;18;16;64;39
13/10/1999;19;17;67;37
13/10/1999;20;18;62;36
13/10/1999;21;18;57;33
13/10/1999;22;17;59;30
13/10/1999;23;15;39;48
13/10/1999;24;14;36;45
14/10/1999;1;13;28;51
14/10/1999;2;11;18;62
14/10/1999;3;14;24;54
14/10/1999;4;17;28;52
14/10/1999;5;9;14;63
14/10/1999;6;35;43;30
14/10/1999;7;21;33;36
14/10/1999;8;36;50;29
14/10/1999;9;45;63;33
14/10/1999;10;54;80;34
14/10/1999;11;33;68;41
14/10/1999;12;22;49;56
14/10/1999;13;n/d;47;61
14/10/1999;14;n/d;51;62
14/10/1999;15;n/d;46;66
14/10/1999;16;n/d;48;69
14/10/1999;17;n/d;61;49
14/10/1999;18;n/d;67;42
14/10/1999;19;n/d;55;47
14/10/1999;20;n/d;38;63
14/10/1999;21;n/d;44;50
14/10/1999;22;n/d;58;35
14/10/1999;23;n/d;42;45
14/10/1999;24;n/d;47;36
15/10/1999;1;23;40;41
15/10/1999;2;21;38;43
15/10/1999;3;24;45;33
15/10/1999;4;19;36;38
15/10/1999;5;18;40;33
15/10/1999;6;20;49;25
15/10/1999;7;21;49;27
15/10/1999;8;23;54;27
15/10/1999;9;25;57;29
15/10/1999;10;26;66;29
15/10/1999;11;28;81;31
15/10/1999;12;30;84;32
15/10/1999;13;n/d;85;n/d
15/10/1999;14;28;77;45
15/10/1999;15;26;68;55
15/10/1999;16;27;77;45
15/10/1999;17;40;77;29
15/10/1999;18;59;75;22
15/10/1999;19;28;64;36
15/10/1999;20;24;55;38
15/10/1999;21;25;38;51
15/10/1999;22;28;30;60
15/10/1999;23;22;32;58
15/10/1999;24;20;51;37
16/10/1999;1;15;43;38
16/10/1999;2;20;36;43
16/10/1999;3;17;38;38
16/10/1999;4;14;28;44
16/10/1999;5;16;39;31
16/10/1999;6;20;21;53
16/10/1999;7;23;52;21
16/10/1999;8;25;38;32
16/10/1999;9;30;50;30
16/10/1999;10;29;68;33
16/10/1999;11;22;63;41
16/10/1999;12;21;67;46
16/10/1999;13;15;43;63
16/10/1999;14;12;36;69
16/10/1999;15;11;34;72
16/10/1999;16;10;31;72
16/10/1999;17;21;43;59
16/10/1999;18;16;36;65
16/10/1999;19;16;35;61
16/10/1999;20;12;23;60
16/10/1999;21;17;27;52
16/10/1999;22;4;18;63
16/10/1999;23;4;14;65
16/10/1999;24;4;24;52
17/10/1999;1;10;23;50
17/10/1999;2;11;23;47
17/10/1999;3;10;19;49
17/10/1999;4;11;22;44
17/10/1999;5;11;19;44
17/10/1999;6;10;18;46
17/10/1999;7;12;21;45
17/10/1999;8;16;26;39
17/10/1999;9;18;25;43
17/10/1999;10;16;24;46
17/10/1999;11;14;21;55
17/10/1999;12;12;19;65
17/10/1999;13;11;18;72
17/10/1999;14;12;20;74
17/10/1999;15;13;22;70
17/10/1999;16;14;18;73
17/10/1999;17;13;22;65
17/10/1999;18;13;28;55
17/10/1999;19;13;23;62
17/10/1999;20;11;24;59
17/10/1999;21;9;18;62
17/10/1999;22;9;15;63
17/10/1999;23;8;14;62
17/10/1999;24;8;12;62
18/10/1999;1;10;13;59
18/10/1999;2;11;14;56
18/10/1999;3;13;15;50
18/10/1999;4;14;19;42
18/10/1999;5;15;25;32
18/10/1999;6;15;30;26
18/10/1999;7;21;33;22
18/10/1999;8;23;32;27
18/10/1999;9;21;29;32
18/10/1999;10;20;27;38
18/10/1999;11;18;24;45
18/10/1999;12;17;21;53
18/10/1999;13;14;19;51
18/10/1999;14;12;18;50
18/10/1999;15;11;18;53
18/10/1999;16;9;18;53
18/10/1999;17;10;23;42
18/10/1999;18;12;27;35
18/10/1999;19;12;28;31
18/10/1999;20;12;24;32
18/10/1999;21;15;22;33
18/10/1999;22;9;19;33
18/10/1999;23;11;18;33
18/10/1999;24;12;17;33
19/10/1999;1;9;15;34
19/10/1999;2;9;15;36
19/10/1999;3;10;16;34
19/10/1999;4;11;18;32
19/10/1999;5;13;24;24
19/10/1999;6;13;28;20
19/10/1999;7;14;28;22
19/10/1999;8;18;28;25
19/10/1999;9;22;27;31
19/10/1999;10;20;27;33
19/10/1999;11;19;26;34
19/10/1999;12;16;25;32
19/10/1999;13;13;26;29
19/10/1999;14;12;27;28
19/10/1999;15;11;27;26
19/10/1999;16;11;31;23
19/10/1999;17;13;34;21
19/10/1999;18;17;31;21
19/10/1999;19;21;26;21
19/10/1999;20;22;25;24
19/10/1999;21;16;25;24
19/10/1999;22;13;23;25
19/10/1999;23;11;22;24
19/10/1999;24;11;23;23
20/10/1999;1;11;n/d;22
20/10/1999;2;10;n/d;22
20/10/1999;3;9;n/d;19
20/10/1999;4;8;n/d;17
20/10/1999;5;7;n/d;12
20/10/1999;6;8;n/d;13
20/10/1999;7;9;n/d;14
20/10/1999;8;9;n/d;14
20/10/1999;9;8;n/d;16
20/10/1999;10;7;n/d;18
20/10/1999;11;8;n/d;22
20/10/1999;12;10;n/d;n/d
20/10/1999;13;11;43;28
20/10/1999;14;n/d;49;25
20/10/1999;15;19;49;23
20/10/1999;16;18;52;18
20/10/1999;17;14;50;18
20/10/1999;18;12;48;25
20/10/1999;19;10;47;27
20/10/1999;20;8;43;28
20/10/1999;21;8;37;34
20/10/1999;22;8;29;40
20/10/1999;23;7;23;47
20/10/1999;24;6;23;45
21/10/1999;1;4;25;37
21/10/1999;2;2;25;34
21/10/1999;3;2;27;33
21/10/1999;4;2;40;23
21/10/1999;5;3;48;18
21/10/1999;6;7;48;19
